row_idx,AUC_P_Cell_death,AUC_P_Hepatocyte_injury,AUC_P_Inflammation
311,27666.053732456006,29027.038592610414,27925.52952678946
312,27666.05373235205,29027.038592646462,27925.529527175244
313,27666.357302364035,29027.06066125431,27925.529523852914
314,27666.35730231279,29027.060661244053,27925.529524052243
315,27666.35730316114,29027.060653986475,27925.529534563677
316,27666.357301569555,29027.060654009205,27925.529517238014
317,27666.357302301767,29027.521451895125,27925.529525507423
319,28767.721507572394,28321.89743644788,27925.529543603694
318,28767.721511026233,29051.479271152624,27925.52952374632
320,28767.721507572394,28321.89743644788,27925.529543603694
321,28767.565398309325,28321.89742639473,27925.529543627978
323,28767.56539904434,28321.897426298783,27925.529543322467
322,28767.56539904465,28321.897426298783,27925.529543322373
324,28767.5653946725,28321.897426085725,27925.529543928093
325,28767.5653946725,28321.897427337804,27925.52954343647
326,28816.380561117345,28327.83393101622,28035.40820732116
327,28809.975401771386,28325.468250185062,28035.408206636417
328,28809.957111259155,28325.46681949169,28035.408206428045
329,28809.957111259355,28325.466819491718,28035.408206427903
330,28809.957113517914,28325.46681899517,28035.40820660114
331,29227.918281727492,28325.58402667185,28035.408206281485
332,29227.91828314736,28325.748421250566,28035.408206165037
333,29228.108851343095,28325.748501102502,28035.40820616234
334,29228.108851269888,28325.74850110252,28035.408206162312
335,29228.108851152378,28325.74849625676,29529.361449178126
336,29233.683688125377,28325.751898882536,29529.36144969429
337,29222.202592381047,28323.010792450532,29515.038202878743
338,29222.24261689856,28323.034695245748,29515.038202744145
339,29222.242616898562,28323.034702678568,29515.03820275935
341,29222.19825743854,28323.03304720023,29496.383928019608
342,29222.198257438467,28323.03305605376,29496.38392801549
340,29222.198256990017,28323.033047289184,29515.03820227721
343,29222.198257446384,28322.582432953393,29496.383928338204
344,29222.19825734539,28241.69376735992,29496.383927927433
345,29195.93722591489,28236.400263859505,29460.872214800336
347,29195.93722591488,28236.400264003452,29460.872214804378
346,29195.937225914822,28236.400263870542,29460.87221479746
348,29195.937225914862,28236.400263869393,29460.87221478593
349,29195.937223699173,28207.856809223922,29460.872215093175
350,29195.93722372668,28207.856808088494,29460.872215087453
351,29195.937223712845,24132.643143355403,29460.872215022046
352,29195.937223712925,24132.643122929316,29460.872215019255
354,29249.79371804496,25799.572836245687,26884.006011567486
353,29195.937223712826,24132.643112708138,29460.8722150174
355,29227.723880051497,25794.744453101284,26723.178268420306
356,29202.52418250796,25790.217824608873,26508.516751660132
357,29202.524182507706,25790.217825967477,26508.51677634466
359,29163.487927855724,25782.77183730664,26189.42182044284
360,29163.487927853417,25782.77183546272,26189.421806033726
358,29163.487927852977,25782.771836499058,26189.421815405007
361,29176.28917131976,25782.863673399217,26189.421814602472
362,29176.28917131976,25782.863673528933,26189.421814605274
364,28717.736505544588,25782.030423080898,26189.421814312052
363,29176.830601356767,25784.93125858543,26189.421812481836
365,28552.820070807633,25767.573840450154,25178.018064889075
366,27275.19442864342,25761.36121909368,25178.018065342738
369,27275.194444243043,28224.119128822997,25178.018027069666
368,27275.19444416966,25761.361220981038,25178.018065968696
370,27275.194444359557,28226.96517643865,25178.01801361255
367,27275.19443805689,25761.361214863784,25178.018069029582
371,27275.194444419896,24423.724185366627,25178.018001480854
372,27385.258816146456,24459.421463278726,25178.018038032937
373,27385.258815658497,24459.421461860715,25178.018030710693
375,27432.791915194408,24459.48044173798,25178.018040104133
376,27432.791915230555,24459.480441353146,25178.018038190836
374,27385.258815009696,24459.421463036466,25178.018012928642
377,27427.397845656284,24459.474883778774,25178.018034174776
378,27427.397846962725,24337.439831186774,25178.018027162034
380,27427.397847054555,24330.74764394584,25178.018030501276
379,27427.397845592262,24330.747646089432,25178.01803943962
382,27403.22348953849,24330.69105984766,25178.01804762983
381,27427.397846222808,24330.747646651245,25178.01803382732
383,27403.223487778163,24330.691057548305,25178.018033863533
384,27404.03752035672,24330.989921715594,25178.018061859566
385,27404.037520678175,24263.35358720104,25178.018061351333
